code,kind,description,contraband
0,"None","No government structure. In many cases, family bonds predominate.","None"
1,"Company/Corporation","Ruling functions are assumed by a company managerial elite, and most citizenry are company employees or dependents.","Weapons, Drugs, Travellers"
2,"Participating Democracy","Ruling functions are reached by the advice and consent of the citizenry directly.","Drugs"
3,"Self-Perpetuating Oligarchy","Ruling functions are performed by a restricted minority, with little or no input from the mass of citizenry.","Technology, Weapons, Travellers"
4,"Representative Democracy","Ruling functions are performed by elected representatives.","Drugs, Weapons, Psionics"
5,"Feudal Technocracy","Ruling functions are performed by specific individuals for persons who agree to be ruled by them. Relationships are based on the performance of technical activities which are mutually beneficial.","Technology, Weapons, Computers"
6,"Captive Government","Ruling functions are performed by an imposed leadership answerable to an outside group.","Weapons, Technology, Travellers"
7,"Balkanisation","No central authority exists; rival governments compete for control. Law level refers to the government nearest the starport.","Varies"
8,"Civil Service Bureaucracy","Ruling functions are performed by government agencies employing individuals selected for their expertise.","Drugs, Weapons"
9,"Impersonal Bureaucracy","Ruling functions are performed by agencies which have become insulated from the governed citizens.","Technology, Weapons, Drugs, Travellers, Psionics"
10,"Charismatic Dictator","Ruling functions are performed by agencies directed by a single leader who enjoys the overwhelming confidence of the citizens.","None"
11,"Non-Charismatic Leader","A previous charismatic dictator has been replaced by a leader through normal channels.","Weapons, Technology, Computers"
12,"Charismatic Oligarchy","Ruling functions are performed by a select group of members of an organization or class which enjoys the overwhelming confidence of the citizenry.","Weapons"
13,"Religious Dictatorship","Ruling functions are performed by a religious organization without regard to the specific individual needs of the citizenry.","Varies"
14,"Religious Autocracy","Government by a single religious leader having absolute power over the citizenry.","Varies"
15,"Totalitarian Oligarchy","Government by an all-powerful minority which maintains absolute control through widespread coercion and oppression.","Varies"
